8 3  -0.02182257   0.00584068   0.09941453
8 4  -0.02842933   0.00856711   0.09939582
8 5  -0.03472472   0.01198705   0.09935051
8 6  -0.04065600   0.01617812   0.09927022
8 7  -0.04599519   0.02122457   0.09914499
8 8  -0.05033988   0.02715878   0.09896490
8 9  -0.05313949   0.03389372   0.09872282
8 10  -0.05375562   0.04115148   0.09841830
8 11  -0.05155198   0.04840175   0.09806213
8 12  -0.04597707   0.05482803   0.09767980
8 13  -0.03654927   0.05933708   0.09731194
8 14  -0.02256739   0.06062049   0.09700974
8 15  -0.00229684   0.05728402   0.09682553
8 16   0.02869688   0.04813583   0.09680688
8 17   0.07939356   0.03292714   0.09697492
8 18   0.16270329   0.01405087   0.09733286
8 19   0.28449127  -0.00156079   0.09783514
8 20   0.40000001   0.00000000   0.00000000
9 0   0.00000000   0.00000000   0.00000000
9 1  -0.00767066   0.00209103   0.09945203
9 2  -0.01609997   0.00281135   0.09946009
9 3  -0.02370008   0.00395682   0.09945570
9 4  -0.03086640   0.00552225   0.09943393
9 5  -0.03780662   0.00758999   0.09938762
9 6  -0.04450330   0.01030114   0.09930700
9 7  -0.05071389   0.01381684   0.09918030
9 8  -0.05595730   0.01826362   0.09899514
9 9  -0.05952852   0.02366048   0.09874178
9 10  -0.06055802   0.02983207   0.09841777
9 11  -0.05812111   0.03632558   0.09803382
9 12  -0.05136314   0.04235809   0.09761817
9 13  -0.03954472   0.04682579   0.09721708
9 14  -0.02182148   0.04839873   0.09688901
9 15   0.00348539   0.04572238   0.09669145
9 16   0.04025886   0.03779560   0.09666795
9 17   0.09594472   0.02470189   0.09683523
9 18   0.18001032   0.00892694   0.09717126
9 19   0.29463452  -0.00360084   0.09761813
9 20   0.40000001   0.00000000   0.00000000
10 0   0.00000000   0.00000000   0.00000000
10 1  -0.00792834   0.00163611   0.09951671
10 2  -0.01660462   0.00169100   0.09951389
10 3  -0.02444423   0.00179414   0.09950361
10 4  -0.03192341   0.00201723   0.09948017
10 5  -0.03931814   0.00249617   0.09943551
10 6  -0.04665611   0.00342501   0.09935870
10 7  -0.05370196   0.00503648   0.09923615
10 8  -0.05992169   0.00756032   0.09905290
10 9  -0.06447466   0.01115392   0.09879586
10 10  -0.06625976   0.01580525   0.09845932
10 11  -0.06403507   0.02122486   0.09805208
10 12  -0.05658943   0.02675883   0.09760372
10 13  -0.04287110   0.03136905   0.09716577
10 14  -0.02187907   0.03372975   0.09680478
10 15   0.00793631   0.03247664   0.09658644
10 16   0.04979923   0.02665160   0.09655563
10 17   0.10957081   0.01642430   0.09672041
10 18   0.19389062   0.00410330   0.09704047
10 19   0.30250007  -0.00541006   0.09742365
10 20   0.40000001   0.00000000   0.00000000
11 0   0.00000000   0.00000000   0.00000000
11 1  -0.00773084   0.00116629   0.09958261
11 2  -0.01621480   0.00052845   0.09956913
11 3  -0.02394777  -0.00045482   0.09955400
11 4  -0.03144668  -0.00164921   0.09953092
11 5  -0.03904022  -0.00288923   0.09949117
11 6  -0.04681128  -0.00395589   0.09942324
11 7  -0.05456295  -0.00456931   0.09931230
11 8  -0.06175414  -0.00440739   0.09914115
11 9  -0.06745800  -0.00315850   0.09889316
11 10  -0.07037735  -0.00061622   0.09855823
11 11  -0.06895432   0.00319290   0.09814146
11 12  -0.06157454   0.00787579   0.09767148
11 13  -0.04678731   0.01259036   0.09720398
11 14  -0.02334758   0.01609167   0.09681445
11 15   0.01018524   0.01698042   0.09657952
11 16   0.05634749   0.01419644   0.09654911
11 17   0.11947903   0.00774646   0.09672037
11 18   0.20387487  -0.00050013   0.09702724
11 19   0.30794337  -0.00680681   0.09733111
11 20   0.40000001   0.00000000   0.00000000
12 0   0.00000000   0.00000000   0.00000000
12 1  -0.00708449   0.00073343   0.09964278
12 2  -0.01494533  -0.00054740   0.09961998
12 3  -0.02221829  -0.00254725   0.09960151
12 4  -0.02940984  -0.00509743   0.09958066
12 5  -0.03687887  -0.00803868   0.09954882
12 6  -0.04477073  -0.01116900   0.09949472
12 7  -0.05296219  -0.01420685   0.09940349
12 8  -0.06096812  -0.01677725   0.09925679
12 9  -0.06785871  -0.01843199   0.09903514
12 10  -0.07222655  -0.01871954   0.09872384
12 11  -0.07225597  -0.01731307   0.09832260
12 12  -0.06592306  -0.01418444   0.09785651
12 13  -0.05128468  -0.00977456   0.09738267
12 14  -0.02669062  -0.00506549   0.09698499
12 15   0.00934911  -0.00143094   0.09675269
12 16   0.05878210  -0.00015507   0.09674250
12 17   0.12456992  -0.00167753   0.09694018
12 18   0.20913489  -0.00490421   0.09723769
12 19   0.31058007  -0.00754239   0.09743702
12 20   0.40000001   0.00000000   0.00000000
13 0   0.00000000   0.00000000   0.00000000
13 1  -0.00605215   0.00039270   0.09969037
13 2  -0.01291550  -0.00139508   0.09966058
13 3  -0.01939959  -0.00421485   0.09964021
13 4  -0.02594603  -0.00790109   0.09962273
13 5  -0.03291511  -0.01233925   0.09960039
13 6  -0.04051345  -0.01739134   0.09956336
13 7  -0.04872002  -0.02283436   0.09949835
13 8  -0.05717215  -0.02831187   0.09938796
13 9  -0.06504542  -0.03330674   0.09921194
13 10  -0.07096292  -0.03715780   0.09895220
13 11  -0.07299247  -0.03914812   0.09860256
13 12  -0.06878753  -0.03868242   0.09818208
13 13  -0.05587958  -0.03553636   0.09774590
13 14  -0.03202439  -0.03009949   0.09738357
13 15   0.00464770  -0.02345865   0.09719358
13 16   0.05583012  -0.01711199   0.09724107
13 17   0.12341842  -0.01228595   0.09749927
13 18   0.20844382  -0.00915230   0.09780068
13 19   0.30976465  -0.00732437   0.09786171
13 20   0.40000001   0.00000000   0.00000000
14 0   0.00000000   0.00000000   0.00000000
14 1  -0.00475532   0.00019264   0.09972002
14 2  -0.01035117  -0.00188533   0.09968629
14 3  -0.01577666  -0.00520916   0.09966504
14 4  -0.02136552  -0.00965488   0.09965065
14 5  -0.02744773  -0.01518054   0.09963699
14 6  -0.03427598  -0.02174845   0.09961687
14 7  -0.04193806  -0.02925337   0.09958033
14 8  -0.05024052  -0.03744860   0.09951353
14 9  -0.05856984  -0.04586874   0.09939896
14 10  -0.06575409  -0.05376955   0.09921858
14 11  -0.06997380  -0.06012607   0.09896237
14 12  -0.06879039  -0.06374012   0.09864284
14 13  -0.05934531  -0.06349376   0.09830996
14 14  -0.03871592  -0.05872896   0.09805349
14 15  -0.00423689  -0.04966061   0.09797788
14 16   0.04620188  -0.03761405   0.09815396
14 17   0.11430348  -0.02481810   0.09852030
14 18   0.20017216  -0.01344920   0.09885899
14 19   0.30445960  -0.00584709   0.09876327
14 20   0.40000001   0.00000000   0.00000000
15 0   0.00000000   0.00000000   0.00000000
15 1  -0.00336418   0.00016358   0.09972931
15 2  -0.00756532  -0.00193144   0.09969522
15 3  -0.01175406  -0.00535991   0.09967310
15 4  -0.01614444  -0.01006589   0.09965982
15 5  -0.02100724  -0.01608483   0.09965125
15 6  -0.02661038  -0.02348731   0.09964362
15 7  -0.03312444  -0.03231889   0.09963135
15 8  -0.04052617  -0.04252039   0.09960645
15 9  -0.04847072  -0.05381980   0.09955816
15 10  -0.05614095  -0.06560243   0.09947435
15 11  -0.06209789  -0.07678798   0.09934724
15 12  -0.06418489  -0.08577660   0.09918566
15 13  -0.05954430  -0.09055392   0.09903219
15 14  -0.04480333  -0.08905417   0.09897629
15 15  -0.01634554  -0.07982832   0.09913532
15 16   0.02921889  -0.06294339   0.09956606
15 17   0.09517668  -0.04081512   0.10012816
15 18   0.18208696  -0.01839018   0.10055538
15 19   0.29331836  -0.00271361   0.10030642
15 20   0.40000001   0.00000000   0.00000000
16 0   0.00000000   0.00000000   0.00000000
16 1  -0.00207692   0.00030734   0.09972026
16 2  -0.00491142  -0.00152114   0.09968880
16 3  -0.00780371  -0.00463795   0.09966473
16 4  -0.01087462  -0.00905227   0.09964874
16 5  -0.01432000  -0.01485370   0.09963954
16 6  -0.01837974  -0.02219354   0.09963615
16 7  -0.02325265  -0.03125257   0.09963756
16 8  -0.02903149  -0.04217831   0.09964222
16 9  -0.03561265  -0.05498210   0.09964842
16 10  -0.04257780  -0.06938655   0.09965529
16 11  -0.04904912  -0.08462063   0.09966604
16 12  -0.05353132  -0.09918915   0.09969624
16 13  -0.05376817  -0.11069766   0.09979033
16 14  -0.04665865  -0.11589309   0.10003827
16 15  -0.02819260  -0.11110593   0.10056414
16 16   0.00667091  -0.09346320   0.10142940
16 17   0.06428791  -0.06303772   0.10249517
16 18   0.15025350  -0.02653817   0.10315497
16 19   0.27488774   0.00156947   0.10256463
16 20   0.40000001   0.00000000   0.00000000
17 0   0.00000000   0.00000000   0.00000000
17 1  -0.00108892   0.00058483   0.09970121
17 2  -0.00270837  -0.00074993   0.09967133
17 3  -0.00438505  -0.00320911   0.09964339
17 4  -0.00617895  -0.00682235   0.09961947
17 5  -0.00821562  -0.01168566   0.09960259
17 6  -0.01066274  -0.01797874   0.09959366
17 7  -0.01368490  -0.02595508   0.09959457
17 8  -0.01740616  -0.03590435   0.09960890
17 9  -0.02186165  -0.04808243   0.09964269
17 10  -0.02693088  -0.06259682   0.09970673
17 11  -0.03225202  -0.07923193   0.09982114
17 12  -0.03711775  -0.09718420   0.10002252
17 13  -0.04035127  -0.11466617   0.10037351
17 14  -0.04004551  -0.12843701   0.10097066
17 15  -0.03312258  -0.13353348   0.10196952
17 16  -0.01424604  -0.12396905   0.10354329
17 17   0.02484838  -0.09461345   0.10567286
17 18   0.10079808  -0.04677130   0.10708474
17 19   0.24087927   0.00235834   0.10629253
